"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Swirlpool","4cb01a00-e67c-4417-88af-cd656d17563e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-08T15:41:22Z,"wix:image://v1/c3c13c_42946906c8d6415f8ceaa8f75610a96b~mv2.jpg/1%2066%20-%20Swirlpool.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Return 1 Palicium creature with 5 or more stars in your hand to your galaxy. Then add 1 Palicium creature with 3 or less stars from your galaxy to your hand.",,,
"Mountain Stronghold","4cc16a2d-0989-498c-8d59-69a8f31de34c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_0151ca5714ad4f8395369efbdd76d553~mv2.jpg/2%2082%20-%20Mountain%20Stronghold.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Attachment",,"{""II - Deep Space Discoveries"":""Common""}","Attach only to a Baro creature. It cannot enter battle zones but at the end of all your turns that creature's owner gains 1 point.",,,
"Doom Blaster","4cc4c9c5-254b-4cf8-a669-f695de41d94b","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:35:56Z,2024-02-22T04:37:26Z,"wix:image://v1/e6d532_09ec37a7524a48d8b94d0a78398d4085~mv2.jpg/037%20-%20Doom%20Blaster.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sheos Planetary Collection""]",8,"Creature","Sheos",,"Up to twice per turn, you can kill the top card of your galaxy, if it is a 6 stars or lower Sheos creature, you can free play it, but this creature cannot attack your opponent's planet this turn.",,450,330
"Knightmare","4ccf6142-c8e0-4dd5-9903-6ebbc0bd6f05","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_fe010a716465471fa8206d56a601417d~mv2.jpg/4%2057%20-%20Uknighted.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Resource",,"{""IV - Planets United"":""Common""}","Kill 1 zoned creature with stars equal to or lower than the number of your killed creatures from different planets (excluding no-planet).",,,
"Jaroda the Galactic Scrapper","4d0ad80c-fd6b-49eb-8d3f-c9e96cbef2cc","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:52Z,2022-11-02T07:49:44Z,"wix:image://v1/06e28e_bae2c6f48ea940388c8fcd0e6c104a02~mv2.jpg/101-Jaroda-the-Galactic-Scrapper.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",4,"Creature","Teklar","{""V - Beyond Horizons"":""Limited Edition""}","Only once, reveal cards from the top of your galaxy equal to the number of your killed attachment cards. Attach 1 revealed attachment to this card (if possible) and shuffle the other cards back into your galaxy.",,200,140
"Dark Drangel","4d401ca8-5a62-4f92-bc28-cc7b93b704ae","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:22Z,2022-04-23T20:43:56Z,"wix:image://v1/c3c13c_5e065fd97ca04ba3b12100106c3788d8~mv2.jpg/4%2024%20-%20Dark%20Drangel.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",6,"Creature","Sindell","{""IV - Planets United"":""Common""}","This creature gains 50 power & health for each of your killed copies of Drangel and Elite Drangel.",,270,220
"Burrabug Plouga","4de3bc51-e704-42ef-bc28-f797dfc0b3c1","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:43:20Z,"wix:image://v1/c3c13c_b135ebcd25094dffacc795f1ee2d1b98~mv2.jpg/022-Burrabug-Plouga.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection""]",6,"Creature","Baro","{""Baro Planetary Collection"":""Rare""}","After this handed creature is killed by an ability, you can free play 1 killed, 4 star or lower Baro creature.",,220,230
"Ozo - The Titan of Justice","4e7a91aa-d376-4f1e-9cf1-c775a74c103e","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-11-07T02:34:23Z,"wix:image://v1/06e28e_9a3d1c83333b44f69ba1525762865b0e~mv2.jpg/3%2049%20-%20Ozo%20the%20Titan%20of%20Justice.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",7,"Creature","Sindian","{""III - Galactic Divide"":""Rare""}","Once per turn, you can show your opponent 3 of your handed and/or zoned creatures. 1x Baro, 1x Gaios & 1x Sindian to draw 1 card or kill 1 zoned card.",,310,380
"Talakon's Helm","4edd50ee-a41a-43a1-b065-25b3c008cd35","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_d0378818c725495ea6e446b02e240916~mv2.jpg/4%2074%20-%20Talakons%20Helm.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",,"Attachment",,"{""IV - Planets United"":""Rare""}","Free play 1 of your killed Teklar combiner or 5 star or lower creatures and attach it to this card. If this card becomes unattached at any point, kill that creature.",,,
"Spirit of Justice Shield","4f3be81f-480e-456d-ba8b-53acb19f771f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:48:01Z,"wix:image://v1/c3c13c_ff8063983dc04892bca3c261af5abfbf~mv2.jpg/014%20-%20Spirit%20of%20the%20Justice%20Shield.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 5: The Justice of Sindian""]",3,"Creature","Sindian","{""Base Galaxy 5: The Justice of Sindian"":""Common""}","When this creature attacks or is attacked by a sindell creature, kill that creature before the attack.",,50,190
"Spirit of the Anti-Justice Sword","4fdbf356-9517-4226-8266-64475f4f7415","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:48:03Z,"wix:image://v1/c3c13c_1d28c69389d44cbab7ca9fd140424c91~mv2.jpg/016%20-%20Spirit%20of%20the%20Anti-Justice%20Sword.j#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",3,"Creature","Sindell","{""Base Galaxy 6: The Corruption of Sindell"":""Common""}","When this card attacks or is attacked by a sindian creature, kill that creature before the attack.",,190,50
"Rainstorm Rider","500d6e93-299a-44cd-a014-4f458118339f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:47:23Z,"wix:image://v1/c3c13c_2afb9df9d73f4e8bb1ac4d54f22e96aa~mv2.jpg/4%2032%20-%20Rainstorm%20Rider.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",4,"Creature","Gaios","{""IV - Planets United"":""Common""}","After this creature is killed by an attack, you can free play 1 handed 4 star or lower gaios or rokah creature.",,220,140
"The Planet Robron","50ad28df-af86-4ce0-b04c-7d2c1da8967c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-08T15:41:16Z,"wix:image://v1/c3c13c_a4ed5e9fc012401fafdb3577e2dd9b8a~mv2.jpg/2%20102%20-%20The%20Planet%20Robron.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Attachment",,"{""II - Deep Space Discoveries"":""Limited Edition""}","This card can only be attached to your planet card. Whilst attached, your planet card's ability becomes the following. Once per turn, you can kill 1 creature in your hand. All your creatures that are killed become creatures from the killed creature's planet until the end of your opponent's next turn.",,,
"Relohex Mine","50b22263-12f6-4ca8-80d7-b0bd9bfc8754","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2025-04-13T20:20:13Z,"wix:image://v1/c3c13c_e389b4cc08164bafbf396278568fcef1~mv2.jpg/2%2093%20-%20Relohex%20Mine.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",,"Activator",,"{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Rare""}","When your opponent's turn ends... You draw 1 card.","Half-Banned - Only 1 copy of this card is permitted in your deck",,
"Quick Sandamander","51691c89-a443-4580-8e3d-a4f6ae8cd1a8","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:47:24Z,"wix:image://v1/c3c13c_7f3f559133744bc986e538266462af0e~mv2.jpg/4%2016%20-%20Quick%20Sandamander.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""Baro Planetary Collection""]",4,"Creature","Baro","{""IV - Planets United"":""Common"",""Baro Planetary Collection"":""Common""}","Only once, you can reveal 1 of your handed or killed 7 star or lower baro creatures. It becomes a 4 star creature until the end of your turn.",,200,140
"Ozoblok","520095c9-c666-452c-9052-c81e4b3888a6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:46:41Z,"wix:image://v1/c3c13c_6a0b49dac3a54dd39bddc254a74171c2~mv2.jpg/3%2038%20-%20Ozoblok.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",3,"Creature","Baro","{""III - Galactic Divide"":""Common""}","When you cost play this creature, add 1 galaxied Ozobam to your hand. You can't cost play it this turn.",,60,140
"Dustrog Crystals","52b8f750-55cc-4f2f-9051-7620829f399c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_93af8c30cfb94a1eb11e12f135953fbd~mv2.jpg/028%20-%20Dustrog%20Crystals.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",,"Activator",,"{""Base Galaxy: Rokah"":""Common""}","When your opponent reveals a card(s) in their hand... Add 1 killed, 6 star or lower Dustrog creature to your hand.",,,
"Baro","52c1da83-8e28-47d8-86de-7c64b84f6109","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-11-02T18:28:17Z,"wix:image://v1/c3c13c_6314f3d24d254fd9898d5cced8ff91f4~mv2.jpg/1%2095%20-%20baro.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Baro","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","Once per turn, you can swap the power and health of 1 baro creature on your planet. At the end of your opponent's next turn, they are swapped back.",,,
"Battle Conjurer","52fe9571-5915-4ba9-929a-fe9ea3b8ec82","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_e8385e00374247a7b1464d1c2cc8786b~mv2.jpg/2%2051%20-%20Battle%20Conjurer.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common""}","Add 1 battle zone to your planet.",,,
"Chroarok Dustrog","531fd5e9-45fe-4ec6-8da9-ddc4a75b976b","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:43:35Z,"wix:image://v1/c3c13c_974d022a1fe846d18cbd4062d4b49d47~mv2.jpg/004%20-%20Chroarok%20dustrog.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy: Rokah""]",7,"Creature","Rokah","{""Base Galaxy: Rokah"":""Rare""}","Each time your opponent reveals 1 individual, handed creature or resource card, this creature permanently gains 100 power.",,200,360
"Shoople Shadow","53a04298-bc2f-4f78-bdc6-266e6be91f6f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:47:42Z,"wix:image://v1/c3c13c_53698347d938454a85646d8f483a9ad6~mv2.jpg/014%20-%20Shoople%20Shadow.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 6: The Corruption of Sindell""]",2,"Creature","Sindell","{""Base Galaxy 6: The Corruption of Sindell"":""Common""}","During the turn this zoned creature is killed, any time you would gain 1 star through the planet Sindell's ability, you gain 2 stars instead (including any creature that was killed before this creature).",,80,80
"Diamonizard","53fe59a7-5cd8-4935-91c3-28357aeea2a6","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:43:46Z,"wix:image://v1/c3c13c_959f40dde8484e35ad3c3909e69010e2~mv2.jpg/008-Diamonizard.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection"",""II - Deep Space Discoveries""]",5,"Creature","Baro","{""Baro Planetary Collection"":""Common"",""II - Deep Space Discoveries"":""Common""}",,,250,270
"Acid Stalk Cloud","54207849-8f91-450d-8024-96b640b17737","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_db024f02c7e2473a872acf4798ee7a26~mv2.jpg/1%2090%20-%20acid%20stalk%20cloud.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Attachment",,"{""I - The Origin of Chaos"":""Common""}","Attach only to a gaios creature. Every time the attached creature's owner's turn begins, they lose 2 points.",,,
"Abandonment","54580ee0-5a71-41b3-b1cc-efe4a7e10ead","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_41a07332d7a449dc9c1690c6ed840e41~mv2.jpg/3%2071%20-%20Abandonment.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Rare""}","Kill all zoned creatures that don't come from their owner's planet card.",,,
"Kranchon of Palicium","54a0bbd3-bae5-4d30-9a93-80128f26cf18","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:45:56Z,"wix:image://v1/c3c13c_e877c32e929f4ab08ee017f74b5be7c2~mv2.jpg/4%2044%20-%20Kranchon%20of%20Palicium.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""Palicium Planetary Collection""]",9,"Creature","Palicium","{""IV - Planets United"":""Really Rare"",""Palicium Planetary Collection"":""Ridiculously Rare""}","This card cannot be free played. If Palicium is your planet card, this creature gains 80 health. When this zoned creature is killed, free play any number of your killed, 2 star or lower Palicium creatures to your creature zones.","Chaos Beast - You can only have 1 Chaos Beast in your deck",500,320
"Kraaka - Beast of the Nightjungle","54ae9ce3-f834-4a2e-a068-728a4a2329bc","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-23T20:45:54Z,"wix:image://v1/c3c13c_95057261c82f49a196041ef4e11f0df0~mv2.jpg/D3%203%20-%20Kraaka.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Base Galaxy 3: The Mysteries of Gaios""]",5,"Creature","Gaios","{""Base Galaxy 3: The Mysteries of Gaios"":""Common""}","Once per turn, you can kill 1 nightjungle resource card on your planet to shuffle up to 2 of your killed nightjungle cards back into your galaxy.",,290,190
"Zonal Destruction","54c2f386-f078-4cb6-ad97-a3e0ce3cc1c9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:26Z,2022-04-08T15:41:26Z,"wix:image://v1/c3c13c_cc9a4fc2793d45bda09a5304d7f6eee7~mv2.jpg/2%2064%20-%20Zonal%20Destruction.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common""}","Remove 1 empty creature zone from your planet. Kill exactly 2 non-creature cards on your opponent's planet.",,,
"Pyraknight","54e753d7-712b-4055-b999-9af5183c203f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2022-04-23T20:47:02Z,"wix:image://v1/c3c13c_3fd1f41125454aa69530ec828662b2d8~mv2.jpg/1%2012%20-%20Pyraknight.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",4,"Creature","Sheos","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Rare""}",,,280,100
"The Horde from Who Knows Where - Left Flank","54f2bfa3-a9ee-4613-9614-04fa1373ab8c","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-04-11T02:38:59Z,2022-04-11T02:38:59Z,"wix:image://v1/c3c13c_efbe177b62f44c0cb76f33ebb0db33d6~mv2.jpg/3%2035%20-%20hoard%20Left%20Flank.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Galactic Divide""]",,"Combiner","No Planet","{""III - Galactic Divide"":""Common""}","When this combiner creature is killed, free play the 2 combiner cards as individual creature cards to creature zones on your planet - Stars: 3. Power: 150. Health: 150. Planet: Same as your planet card.",,300,300
"Schwaggle","5675d5f5-04e1-4931-9603-e2486d05ec45","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-23T20:47:16Z,"wix:image://v1/c3c13c_19ce8a04d0d54ec09dc5ec80187028c8~mv2.jpg/1%2039%20-%20Schwaggle.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",1,"Creature","Palicium","{""I - The Origin of Chaos"":""Common""}",,,40,50
"Thorngabork","5805b59b-3758-4021-baae-20d4a7a48d6c","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:18Z,2022-04-23T20:48:33Z,"wix:image://v1/c3c13c_1574cfcc90b2441db5c84004a9bb66c7~mv2.jpg/3%2059%20-%20Thorngabork.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",1,"Creature","Gaios","{""III - Galactic Divide"":""Common""}","When this creature is killed by an attack you draw 1 card.",,60,10
"Dark Market Alchemist","581216ac-ce46-451a-bd8a-6551fa112a1f","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:43:54Z,"wix:image://v1/c3c13c_1301665c8f774982924db3d3fcebca36~mv2.jpg/4%20104%20-%20Dark%20Market%20Alchemist.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United""]",7,"Creature","No Planet","{""IV - Planets United"":""Limited Edition""}","When you cost play this creature, you can kill 1 zoned creature that has higher power &/or health than its original power &/or health.",,290,270
"Red Beaked Sqwob","588d36a5-e8d2-469e-8906-5f6aec68c4ca","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:47:22Z,"wix:image://v1/c3c13c_79ca0d57618242308b2598b763667043~mv2.jpg/3%2042%20-%20Red%20Beaked%20Sqwob.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",1,"Creature","Baro","{""III - Galactic Divide"":""Common""}",,,50,60
"Frozzbozz","59915e4f-c899-4830-9641-844885945ac9","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:20Z,2022-04-23T20:44:32Z,"wix:image://v1/c3c13c_0c47487b97c3433fb635ebd751ebd2e7~mv2.jpg/2%2030%20-%20Frozzbozz.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Palicium Planetary Collection""]",3,"Creature","Palicium","{""II - Deep Space Discoveries"":""Common"",""Palicium Planetary Collection"":""Common""}",,,200,100
"Combine Harvester","59f1d374-4e84-4a70-9877-59eef4571acd","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:16Z,2025-04-13T20:17:36Z,"wix:image://v1/c3c13c_643f5d8d18314dedb7753fd652f2ec47~mv2.jpg/015-Combine-Harvester.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Baro Planetary Collection"",""III - Galactic Divide""]",5,"Creature","Baro","{""Baro Planetary Collection"":""Rare"",""III - Galactic Divide"":""Rare""}","You can kill this creature on your planet to free play 1 of your killed combiner creatures.",,130,240
"Gobbostorrus","5a15e9dc-909f-4fd3-999b-87890de107cf","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-23T20:44:55Z,"wix:image://v1/c3c13c_b0efd9442389437eb94cabb888be604a~mv2.jpg/4%2046%20-%20Gobusstorrus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""IV - Planets United"",""Palicium Planetary Collection""]",8,"Creature","Palicium","{""IV - Planets United"":""Rare"",""Palicium Planetary Collection"":""Rare""}","Once per turn, you can kill 1 of your other zoned Palicium creatures and have this creature permanently lose 100 health to kill 1 zoned card.",,330,430
"Pointasaurus","5a4de3a5-f099-447e-91f9-8badd1c1b043","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T07:52:24Z,"wix:image://v1/06e28e_2e1612a3fc1541c189bcf17c0cf7b4a1~mv2.jpg/013-Pointasaurus.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",5,"Creature","Baro","{""V - Beyond Horizons"":""Common""}","When this creature is cost played, gain 1 point for each of your zoned creatures.",,210,230
